"Ad name",Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (EUR)","Result rate","CPM (cost per 1,000 impressions)",Frequency,"Reporting starts","Reporting ends"
"Carousel 1 // Mehr dazu",2025-12-13,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_2 Anzeigengruppe","7-day click or 1-day view",,,20,28,,-,-,-,0.27,,9.64285714,1.4,2025-12-13,2025-12-13
"SCN-Reel // Mehr dazu",2026-01-13,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,18,19,,-,-,-,0.27,,14.21052632,1.05555556,2026-01-13,2026-01-13
"Carousel 1 // Mehr dazu",2026-01-01,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,53,63,,-,-,-,0.26,,4.12698413,1.18867925,2026-01-01,2026-01-01
"Carousel 1 // Mehr dazu",2026-01-10,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,46,50,,-,-,-,0.26,,5.2,1.08695652,2026-01-10,2026-01-10
"TH-Reel // Mehr dazu",2025-12-28,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,24,29,,-,-,-,0.24,,8.27586207,1.20833333,2025-12-28,2025-12-28
"Carousel 1 // Mehr dazu",2025-12-31,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,33,40,,-,-,-,0.24,,6,1.21212121,2025-12-31,2025-12-31
"Carousel 1 // Mehr dazu",2026-01-13,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,40,44,,-,-,-,0.23,,5.22727273,1.1,2026-01-13,2026-01-13
"SCN-Reel // Mehr dazu",2026-01-08,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,19,20,,-,-,-,0.22,,11,1.05263158,2026-01-08,2026-01-08
"Carousel 1 // Mehr dazu",2026-01-14,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,22,23,,-,-,-,0.22,,9.56521739,1.04545455,2026-01-14,2026-01-14
"TH-Reel // Mehr dazu",2025-12-31,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,28,30,,-,-,-,0.2,,6.66666667,1.07142857,2025-12-31,2025-12-31
"Bild 1 // Mehr dazu",2026-01-06,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,34,35,,-,-,-,0.13,,3.71428571,1.02941176,2026-01-06,2026-01-06
"Carousel 1 // Mehr dazu",2026-01-03,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,32,35,,-,-,-,0.11,,3.14285714,1.09375,2026-01-03,2026-01-03
"TH-Reel // Mehr dazu",2026-01-03,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,10,10,,-,-,-,0.11,,11,1,2026-01-03,2026-01-03
"Bild 2 // Mehr dazu",2026-01-06,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,12,12,,-,-,-,0.11,,9.16666667,1,2026-01-06,2026-01-06
"SCN-Reel // Mehr dazu",2026-01-14,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,7,7,,-,-,-,0.07,,10,1,2026-01-14,2026-01-14
