"Ad name",Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (EUR)","Result rate","CPM (cost per 1,000 impressions)",Frequency,"Reporting starts","Reporting ends"
"Carousel 1 // Mehr dazu",2025-11-29,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view",,,56,56,,-,-,-,2,,35.71428571,1,2025-11-29,2025-11-29
"Carousel 1 // Mehr dazu",2025-12-21,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,130,143,,-,-,-,1.93,,13.4965035,1.1,2025-12-21,2025-12-21
"Carousel 1 // Mehr dazu",2025-11-28,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view",,,117,122,,-,-,-,1.92,,15.73770492,1.04273504,2025-11-28,2025-11-28
"Carousel 1 // Mehr dazu",2025-12-01,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view",,,86,89,,-,-,-,1.92,,21.57303371,1.03488372,2025-12-01,2025-12-01
"SCN-Reel // Mehr dazu",2026-01-11,active,ad,"Andresen & Co. Immobilien // Apartmentanlage in Westerland // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,161,198,,-,-,-,1.84,,9.29292929,1.22981366,2026-01-11,2026-01-11
"TH-Reel // Mehr dazu",2025-11-24,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view",,,47,47,,-,-,-,1.83,,38.93617021,1,2025-11-24,2025-11-24
"Carousel 1 // Mehr dazu",2025-11-23,not_delivering,ad,"NEUBAUTEAM // Oelkersallee // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,91,97,,-,-,-,1.8,,18.55670103,1.06593407,2025-11-23,2025-11-23
"Carousel 1 // Mehr dazu",2025-11-27,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,55,60,,-,-,-,1.8,,30,1.09090909,2025-11-27,2025-11-27
"SCN-Reel // Mehr dazu",2026-01-19,active,ad,"Andresen & Co. Immobilien // Apartmentanlage in Westerland // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,109,127,,-,-,-,1.79,,14.09448819,1.16513761,2026-01-19,2026-01-19
"Bild 1 // Mehr dazu",2026-01-22,active,ad,"Andresen & Co. Immobilien // Apartmentanlage in Westerland // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,175,190,1.78,-,-,-,1.78,0.52631579,9.36842105,1.08571429,2026-01-22,2026-01-22
